age_bucket,country_destination,gender,population_in_thousands,year
100+,AU,male,1,2015
95-99,AU,male,9,2015
90-94,AU,male,47,2015
85-89,AU,male,118,2015
80-84,AU,male,199,2015
75-79,AU,male,298,2015
70-74,AU,male,415,2015
65-69,AU,male,574,2015
60-64,AU,male,636,2015
55-59,AU,male,714,2015
50-54,AU,male,778,2015
45-49,AU,male,778,2015
40-44,AU,male,820,2015
35-39,AU,male,797,2015
30-34,AU,male,881,2015
25-29,AU,male,895,2015
20-24,AU,male,820,2015
15-19,AU,male,768,2015
10-14,AU,male,743,2015
5-9,AU,male,784,2015
0-4,AU,male,824,2015
100+,AU,female,4,2015
95-99,AU,female,25,2015
90-94,AU,female,94,2015
85-89,AU,female,179,2015
80-84,AU,female,252,2015
75-79,AU,female,338,2015
70-74,AU,female,438,2015
65-69,AU,female,592,2015
60-64,AU,female,660,2015
55-59,AU,female,739,2015
50-54,AU,female,798,2015
45-49,AU,female,793,2015
40-44,AU,female,838,2015
35-39,AU,female,801,2015
30-34,AU,female,865,2015
25-29,AU,female,851,2015
20-24,AU,female,787,2015
15-19,AU,female,737,2015
10-14,AU,female,707,2015
5-9,AU,female,745,2015
0-4,AU,female,781,2015
75-79,CA,female,530,2015
75-79,CA,male,446,2015
35-39,CA,female,1192,2015
25-29,CA,female,1220,2015
95-99,CA,male,13,2015
40-44,CA,male,1179,2015
30-34,CA,female,1240,2015
60-64,CA,female,1142,2015
55-59,CA,male,1287,2015
45-49,CA,male,1232,2015
85-89,CA,female,300,2015
50-54,CA,male,1400,2015
100+,CA,male,1,2015
70-74,CA,male,650,2015
95-99,CA,female,42,2015
100+,CA,female,7,2015
90-94,CA,male,68,2015
50-54,CA,female,1391,2015
0-4,CA,male,1045,2015
5-9,CA,male,1011,2015
70-74,CA,female,715,2015
10-14,CA,male,983,2015
55-59,CA,female,1305,2015
45-49,CA,female,1217,2015
20-24,CA,female,1159,2015
15-19,CA,male,1054,2015
20-24,CA,male,1203,2015
65-69,CA,male,914,2015
40-44,CA,female,1169,2015
90-94,CA,female,153,2015
65-69,CA,female,973,2015
60-64,CA,male,1094,2015
85-89,CA,male,183,2015
25-29,CA,male,1273,2015
5-9,CA,female,960,2015
80-84,CA,female,422,2015
30-34,CA,male,1262,2015
10-14,CA,female,929,2015
0-4,CA,female,991,2015
35-39,CA,male,1189,2015
15-19,CA,female,1009,2015
80-84,CA,male,318,2015
70-74,DE,male,2099,2015
80-84,DE,female,1486,2015
60-64,DE,female,2799,2015
100+,DE,male,3,2015
5-9,DE,female,1690,2015
75-79,DE,female,2421,2015
70-74,DE,female,2362,2015
65-69,DE,female,2134,2015
85-89,DE,male,517,2015
25-29,DE,female,2495,2015
60-64,DE,male,2575,2015
0-4,DE,female,1713,2015
55-59,DE,male,2983,2015
50-54,DE,male,3614,2015
30-34,DE,female,2571,2015
45-49,DE,male,3525,2015
40-44,DE,male,2633,2015
35-39,DE,female,2402,2015
65-69,DE,male,2003,2015
35-39,DE,male,2448,2015
20-24,DE,female,2161,2015
30-34,DE,male,2627,2015
95-99,DE,male,17,2015
40-44,DE,female,2559,2015
75-79,DE,male,1932,2015
25-29,DE,male,2593,2015
10-14,DE,female,1800,2015
20-24,DE,male,2266,2015
15-19,DE,male,2076,2015
45-49,DE,female,3357,2015
10-14,DE,male,1892,2015
5-9,DE,male,1781,2015
50-54,DE,female,3513,2015
0-4,DE,male,1811,2015
15-19,DE,female,1974,2015
100+,DE,female,14,2015
90-94,DE,male,154,2015
80-84,DE,male,1016,2015
95-99,DE,female,71,2015
90-94,DE,female,491,2015
55-59,DE,female,2996,2015
85-89,DE,female,988,2015
95-99,ES,male,22,2015
15-19,ES,female,1027,2015
85-89,ES,male,306,2015
75-79,ES,male,688,2015
40-44,ES,female,1924,2015
100+,ES,male,3,2015
90-94,ES,male,112,2015
45-49,ES,male,1909,2015
15-19,ES,male,1087,2015
0-4,ES,female,1198,2015
70-74,ES,female,1040,2015
5-9,ES,male,1307,2015
10-14,ES,female,1124,2015
30-34,ES,male,1748,2015
65-69,ES,female,1251,2015
95-99,ES,female,64,2015
80-84,ES,female,843,2015
55-59,ES,male,1479,2015
10-14,ES,male,1189,2015
50-54,ES,female,1733,2015
20-24,ES,female,1106,2015
40-44,ES,male,2052,2015
70-74,ES,male,880,2015
30-34,ES,female,1646,2015
35-39,ES,male,2117,2015
75-79,ES,female,906,2015
25-29,ES,female,1280,2015
5-9,ES,female,1235,2015
60-64,ES,male,1235,2015
55-59,ES,female,1531,2015
25-29,ES,male,1347,2015
85-89,ES,female,563,2015
65-69,ES,male,1119,2015
100+,ES,female,9,2015
90-94,ES,female,256,2015
35-39,ES,female,1966,2015
80-84,ES,male,559,2015
0-4,ES,male,1272,2015
60-64,ES,female,1316,2015
50-54,ES,male,1727,2015
20-24,ES,male,1175,2015
45-49,ES,female,1852,2015
40-44,FR,male,2212,2015
60-64,FR,male,1891,2015
90-94,FR,male,164,2015
35-39,FR,male,1842,2015
100+,FR,male,3,2015
75-79,FR,female,1223,2015
25-29,FR,female,2041,2015
70-74,FR,male,1103,2015
30-34,FR,male,2035,2015
85-89,FR,male,405,2015
55-59,FR,female,2125,2015
90-94,FR,female,465,2015
25-29,FR,male,2081,2015
95-99,FR,male,20,2015
75-79,FR,male,918,2015
20-24,FR,male,2040,2015
10-14,FR,female,1894,2015
65-69,FR,female,1985,2015
45-49,FR,female,2220,2015
15-19,FR,male,2016,2015
